size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
1100,10,0.85,2,,,,,,,,,,,,,,,
1200,10,1.03,2,,,,,,,,,,,,,,,
1300,10,1.23,2,,,,,,,,,,,,,,,
1400,10,1.44,2,,,,,,,,,,,,,,,
1500,10,1.67,2,,,,,,,,,,,,,,,
1800,10,2.49,2,,,,,,,,,,,,,,,
2300,10,5.22,2,,,,,,,,,,,,,,,
2500,10,6.24,2,,,,,,,,,,,,,,,
3000,10,9.3,2,,,,,,,,,,,,,,,
3200,10,12.51,2,,,,,,,,,,,,,,,
3600,10,16.27,2,,,,,,,,,,,,,,,
3800,10,18.16,2,,,,,,,,,,,,,,,
4200,10,26.34,2,,,,,,,,,,,,,,,
4500,10,30.67,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 12,impl,,,,,,,,,,,,,,,
900,12,0.54,2,,,,,,,,,,,,,,,
1000,12,0.69,2,,,,,,,,,,,,,,,
1100,12,0.86,2,,,,,,,,,,,,,,,
1200,12,1.04,2,,,,,,,,,,,,,,,
1300,12,1.24,2,,,,,,,,,,,,,,,
1400,12,1.45,2,,,,,,,,,,,,,,,
1500,12,1.67,2,,,,,,,,,,,,,,,
1800,12,2.5,2,,,,,,,,,,,,,,,
2300,12,5.25,2,,,,,,,,,,,,,,,
2500,12,6.26,2,,,,,,,,,,,,,,,
3000,12,9.33,2,,,,,,,,,,,,,,,
3200,12,12.56,2,,,,,,,,,,,,,,,
3600,12,16.31,2,,,,,,,,,,,,,,,
3800,12,18.21,2,,,,,,,,,,,,,,,
4200,12,26.45,2,,,,,,,,,,,,,,,
4500,12,30.8,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 14,impl,,,,,,,,,,,,,,,
900,14,0.55,2,,,,,,,,,,,,,,,
1000,14,0.7,2,,,,,,,,,,,,,,,
1100,14,0.87,2,,,,,,,,,,,,,,,
1200,14,1.05,2,,,,,,,,,,,,,,,
1300,14,1.25,2,,,,,,,,,,,,,,,
1400,14,1.46,2,,,,,,,,,,,,,,,
1500,14,1.69,2,,,,,,,,,,,,,,,
1800,14,2.53,2,,,,,,,,,,,,,,,
2300,14,5.3,2,,,,,,,,,,,,,,,
2500,14,6.33,2,,,,,,,,,,,,,,,
3000,14,9.43,2,,,,,,,,,,,,,,,
3200,14,12.7,2,,,,,,,,,,,,,,,
3600,14,16.49,2,,,,,,,,,,,,,,,
3800,14,18.42,2,,,,,,,,,,,,,,,
4200,14,26.76,2,,,,,,,,,,,,,,,
4500,14,31.16,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 1,impl,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,,,
900,1,0.82,3,,,900,3,0.82,0.61,0.55,0.53,0.53,0.53,0.53,,,,
1000,1,1.04,3,,,1000,3,1.04,0.78,0.7,0.68,0.68,0.68,0.68,,,,
1100,1,1.29,3,,,1100,3,1.29,0.97,0.87,0.85,0.84,0.84,0.84,,,,
1200,1,1.56,3,,,1200,3,1.56,1.17,1.06,1.02,1.02,1.02,1.02,,,,
1300,1,1.85,3,,,1300,3,1.85,1.4,1.26,1.22,1.22,1.21,1.22,,,,
1400,1,2.17,3,,,1400,3,2.17,1.64,1.48,1.43,1.43,1.43,1.43,,,,
1500,1,2.51,3,,,1500,3,2.51,1.89,1.7,1.65,1.65,1.65,1.65,,,,
1800,1,3.75,3,,,1800,3,3.75,2.82,2.54,2.47,2.46,2.46,2.46,,,,
2300,1,7.86,3,,,2300,3,7.86,5.93,5.34,5.18,5.17,5.16,5.16,,,,
2500,1,9.4,3,,,2500,3,9.4,7.07,6.38,6.19,6.17,6.17,6.17,,,,
3000,1,13.98,3,,,3000,3,13.98,10.54,9.5,9.22,9.21,9.19,9.19,,,,
3200,1,18.83,3,,,3200,3,18.83,14.19,12.79,12.42,12.39,12.37,12.37,,,,
3600,1,24.44,3,,,3600,3,24.44,18.43,16.6,16.12,16.08,16.07,16.08,,,,
3800,1,27.28,3,,,3800,3,27.28,20.58,18.55,18.01,17.97,17.95,17.95,,,,
4200,1,39.74,3,,,4200,3,39.74,29.92,26.91,26.14,26.07,26.05,26.04,,,,
4500,1,46.2,3,,,4500,3,46.2,34.78,31.32,30.43,30.35,30.34,30.32,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 2,impl,,,,,,,,,,,,,,,
900,2,0.61,3,,,,,,,,,,,,,,,
1000,2,0.78,3,,,,,,,,,,,,,,,
1100,2,0.97,3,,,,,,,,,,,,,,,
1200,2,1.17,3,,,,,,,,,,,,,,,
1300,2,1.4,3,,,,,,,,,,,,,,,
1400,2,1.64,3,,,,,,,,,,,,,,,
1500,2,1.89,3,,,,,,,,,,,,,,,
1800,2,2.82,3,,,,,,,,,,,,,,,
2300,2,5.93,3,,,,,,,,,,,,,,,
2500,2,7.07,3,,,,,,,,,,,,,,,
3000,2,10.54,3,,,,,,,,,,,,,,,
3200,2,14.19,3,,,,,,,,,,,,,,,
3600,2,18.43,3,,,,,,,,,,,,,,,
3800,2,20.58,3,,,,,,,,,,,,,,,
4200,2,29.92,3,,,,,,,,,,,,,,,
4500,2,34.78,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.55,3,,,,,,,,,,,,,,,
1000,4,0.7,3,,,,,,,,,,,,,,,
1100,4,0.87,3,,,,,,,,,,,,,,,
1200,4,1.06,3,,,,,,,,,,,,,,,
1300,4,1.26,3,,,,,,,,,,,,,,,
1400,4,1.48,3,,,,,,,,,,,,,,,
1500,4,1.7,3,,,,,,,,,,,,,,,
1800,4,2.54,3,,,,,,,,,,,,,,,
2300,4,5.34,3,,,,,,,,,,,,,,,
